Date/Time,Date,Step Count (count)
2018-12-31T22:00:00Z,2019-01-01,764
2018-12-31T23:00:00Z,2019-01-01,913
2019-01-01T13:00:00Z,2019-01-02,9
2019-01-01T23:00:00Z,2019-01-02,2910
2019-01-02T00:00:00Z,2019-01-02,1390
2019-01-02T01:00:00Z,2019-01-02,1020
2019-01-02T02:00:00Z,2019-01-02,472
2019-01-02T04:00:00Z,2019-01-02,1220
2019-01-02T05:00:00Z,2019-01-02,1670
2019-01-02T06:00:00Z,2019-01-02,1390
2019-01-02T07:00:00Z,2019-01-02,1990
2019-01-02T08:00:00Z,2019-01-02,2250
2019-01-02T09:00:00Z,2019-01-02,654
2019-01-02T10:00:00Z,2019-01-02,8
2019-01-02T12:00:00Z,2019-01-02,4
2019-01-02T23:00:00Z,2019-01-03,805
2019-01-03T00:00:00Z,2019-01-03,1700
2019-01-03T01:00:00Z,2019-01-03,879
2019-01-03T02:00:00Z,2019-01-03,1060
2019-01-03T06:00:00Z,2019-01-03,2580
2019-01-03T07:00:00Z,2019-01-03,2400
2019-01-04T10:00:00Z,2019-01-04,9
2019-01-04T22:00:00Z,2019-01-05,120
2019-01-04T23:00:00Z,2019-01-05,735
2019-01-05T00:00:00Z,2019-01-05,830
2019-01-05T01:00:00Z,2019-01-05,1450
2019-01-05T02:00:00Z,2019-01-05,1510
2019-01-05T03:00:00Z,2019-01-05,2130
2019-01-05T04:00:00Z,2019-01-05,575
2019-01-05T06:00:00Z,2019-01-05,9
2019-01-05T23:00:00Z,2019-01-06,10
2019-01-06T12:00:00Z,2019-01-06,11
2019-01-06T22:00:00Z,2019-01-07,2300
2019-01-06T23:00:00Z,2019-01-07,689
2019-01-07T00:00:00Z,2019-01-07,173
2019-01-07T01:00:00Z,2019-01-07,226
2019-01-07T02:00:00Z,2019-01-07,1790
2019-01-07T03:00:00Z,2019-01-07,135
2019-01-07T06:00:00Z,2019-01-07,994
2019-01-07T07:00:00Z,2019-01-07,2740
2019-01-07T08:00:00Z,2019-01-07,2.35
2019-01-07T12:00:00Z,2019-01-07,8
2019-01-07T22:00:00Z,2019-01-08,2210
2019-01-07T23:00:00Z,2019-01-08,814
2019-01-08T00:00:00Z,2019-01-08,208
2019-01-08T01:00:00Z,2019-01-08,2210
2019-01-08T02:00:00Z,2019-01-08,999
2019-01-08T03:00:00Z,2019-01-08,322
2019-01-08T05:00:00Z,2019-01-08,804
2019-01-08T06:00:00Z,2019-01-08,2520
2019-01-08T07:00:00Z,2019-01-08,235
2019-01-08T11:00:00Z,2019-01-08,19
2019-01-08T22:00:00Z,2019-01-09,2550
2019-01-08T23:00:00Z,2019-01-09,641
2019-01-09T00:00:00Z,2019-01-09,585
2019-01-09T01:00:00Z,2019-01-09,502
2019-01-09T05:00:00Z,2019-01-09,1800
2019-01-09T06:00:00Z,2019-01-09,316
2019-01-09T14:00:00Z,2019-01-10,13
2019-01-09T22:00:00Z,2019-01-10,2160
2019-01-09T23:00:00Z,2019-01-10,701
2019-01-10T00:00:00Z,2019-01-10,158
2019-01-10T01:00:00Z,2019-01-10,443
2019-01-10T02:00:00Z,2019-01-10,650
2019-01-10T03:00:00Z,2019-01-10,472
2019-01-10T04:00:00Z,2019-01-10,43
2019-01-10T05:00:00Z,2019-01-10,391
2019-01-10T07:00:00Z,2019-01-10,1520
2019-01-10T08:00:00Z,2019-01-10,938
2019-01-10T23:00:00Z,2019-01-11,2730
2019-01-11T00:00:00Z,2019-01-11,235
2019-01-11T01:00:00Z,2019-01-11,1050
2019-01-11T02:00:00Z,2019-01-11,1240
2019-01-11T03:00:00Z,2019-01-11,305
2019-01-11T04:00:00Z,2019-01-11,335
2019-01-11T05:00:00Z,2019-01-11,831
2019-01-11T06:00:00Z,2019-01-11,2210
2019-01-11T07:00:00Z,2019-01-11,329
2019-01-11T12:00:00Z,2019-01-11,21
2019-01-11T23:00:00Z,2019-01-12,11
2019-01-12T07:00:00Z,2019-01-12,2790
2019-01-12T08:00:00Z,2019-01-12,2940
2019-01-12T09:00:00Z,2019-01-12,551
2019-01-13T12:00:00Z,2019-01-13,10
2019-01-13T21:00:00Z,2019-01-14,982
2019-01-13T22:00:00Z,2019-01-14,904
2019-01-13T23:00:00Z,2019-01-14,1830
2019-01-14T01:00:00Z,2019-01-14,1320
2019-01-14T05:00:00Z,2019-01-14,1.34
2019-01-14T06:00:00Z,2019-01-14,65.7
2019-01-14T08:00:00Z,2019-01-14,22
2019-01-14T09:00:00Z,2019-01-14,1
2019-01-14T16:00:00Z,2019-01-15,8
2019-01-14T18:00:00Z,2019-01-15,355
2019-01-14T19:00:00Z,2019-01-15,1800
2019-01-14T20:00:00Z,2019-01-15,261
2019-01-15T00:00:00Z,2019-01-15,1240
2019-01-15T01:00:00Z,2019-01-15,795
2019-01-15T02:00:00Z,2019-01-15,206
2019-01-15T03:00:00Z,2019-01-15,481
2019-01-15T14:00:00Z,2019-01-16,2220
